"url","date","ort","land","codex","disziplin","gender","category","kommentar"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78876","20.12.2014","Val Gardena / Groeden","ITA",144,"Super G","M","WC","Replaces: 19.12.2014"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78907","19.01.2015","Cortina d'Ampezzo","ITA",5146,"Super G","L","WC","Replaces: 18.01.2015"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78906","18.01.2015","Cortina d'Ampezzo","ITA",5145,"Downhill","L","WC","Replaces: 17.01.2015"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=70950","14.12.2012","Val d'Isere","FRA",5426,"Downhill","L","WC","Replaces: 15.12.2012"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=70983","08.12.2012","Val d'Isere","FRA",428,"Slalom","M","WC","Replaces: 09.12.2012"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=70982","09.12.2012","Val d'Isere","FRA",427,"Giant Slalom","M","WC","Replaces: 08.12.2012"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75200","07.12.2013","Beaver Creek","USA",77,"Super G","M","WC","Replaces: 07.12.2013"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75201","06.12.2013","Beaver Creek","USA",78,"Downhill","M","WC","Replaces: 06.12.2013"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82753","07.03.2016","Jasna","SVK",5179,"Giant Slalom","L","WC","Replaces: 05.03.2016"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62268","06.02.2011","Arber-Zwiesel","GER",5610,"Giant Slalom","L","WC","replaces: 05.02.2011"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82722","05.01.2016","Santa Caterina Valfurva","ITA",5077,"Slalom","L","WC","Replaces Zagreb 03.01.2016"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82723","06.01.2016","Santa Caterina Valfurva","ITA",76,"Slalom","M","WC","Replaces Zagreb"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=51018","15.12.2007","St. Moritz","SUI",5209,"Downhill","L","WC","Replaces Val d Isere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=51019","16.12.2007","St. Moritz","SUI",5225,"Super G","L","WC","Replaces Val d Isere"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82727","10.01.2016","Altenmarkt-Zauchensee","AUT",5034,"Super G","L","WC","Replaces St. Anton"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=51220","10.11.2007","Reiteralm","AUT",5054,"Slalom","L","WC","Replaces Levi World Cup"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=51221","11.11.2007","Reiteralm","AUT",57,"Slalom","M","WC","Replaces Levi World Cup"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82701","28.11.2015","Aspen CO","USA",5005,"Slalom","L","WC","Replaces Levi 14.11.2015"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82703","27.11.2015","Aspen CO","USA",5186,"Giant Slalom","L","WC","Replaces 28.11.2015"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66725","11.02.2012","Soldeu-Grandvalira","AND",5082,"Slalom","L","WC","replaces 12.02.2012"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=66724","12.02.2012","Soldeu-Grandvalira","AND",5081,"Giant Slalom","L","WC","replaces 11.02.2012"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=14777","15.12.2001","Val d'Isere","FRA",5502,"Super G","L","WC","Replaces : Megeve"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=15408","07.12.2001","Val d'Isere","FRA",961,"Super G","M","WC","Replaces : Beaver Creek (USA)"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=16667","28.12.2001","Bormio","ITA",960,"Downhill","M","WC","Replaces : Beaver Creek"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=15399","20.12.2001","Kranjska Gora","USA",955,"Giant Slalom","M","WC","Replaces : Aspen"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=15401","25.11.2001","Aspen CO","USA",956,"Slalom","M","WC","Replaces : Aspen"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75152","05.01.2014","Bormio","ITA",5233,"Slalom","L","WC","Replace Zagreb"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75153","06.01.2014","Bormio","ITA",236,"Slalom","M","WC","Replace Zagreb"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=45757","06.01.2007","Kranjska Gora","SLO",6207,"Giant Slalom","L","WC","Replace Maribor"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=45758","07.01.2007","Kranjska Gora","SLO",6208,"Slalom","L","WC","Replace Maribor"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75175","02.03.2014","Crans Montana","SUI",5158,"Downhill","L","WC","replace 1st march"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=75170","06.03.2014","Are","SWE",5261,"Giant Slalom","L","WC","Repl.:KranjskaGora/Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=78872","12.12.2014","Are","SWE",117,"Giant Slalom","M","WC","Repl.: Val d Isere/Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=14088","16.12.2000","Val d'Isere","FRA",208,"Downhill","M","WC","Repl. Val Gardena/Groeden ITA"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82726","09.01.2016","Altenmarkt-Zauchensee","AUT",5033,"Downhill","L","WC","Repl. St. Anton-new:Sprint DH"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=12446","02.03.2001","Kvitfjell","NOR",802,"Downhill","M","WC","Repl. Snowbasin UT USA"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82730","15.01.2016","Flachau","AUT",5101,"Slalom","L","WC","Repl. Ofterschwang 17.01.2016"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82729","17.01.2016","Flachau","AUT",5100,"Giant Slalom","L","WC","Repl. Oferschwang 16.01.2016"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=14105","21.12.2000","Bormio","ITA",272,"Giant Slalom","M","WC","Repl. Kranjska Gora SLO"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=14104","19.12.2000","Madonna di Campiglio","ITA",271,"Slalom","M","WC","Repl. Kranjska Gora SLO"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=82811","04.03.2016","Kranjska Gora","SLO",109,"Giant Slalom","M","WC","Repl. Garmisch 31.01.2016"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=14089","17.12.2000","Val d'Isere","FRA",249,"Giant Slalom","M","WC","Repl. Alta Badia ITA"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=15787","22.01.2002","Schladming","AUT",1161,"Slalom","M","WC","Night SL"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=15880","10.12.2001","Madonna di Campiglio","ITA",1219,"Slalom","M","WC","Night SL"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=18870","06.03.2003","Are","SWE",5959,"Giant Slalom","L","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=18159","28.01.2003","Schladming","AUT",728,"Slalom","M","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=26405","27.01.2004","Schladming","AUT",658,"Slalom","M","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=24610","15.12.2003","Madonna di Campiglio","ITA",1101,"Slalom","M","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=32843","25.01.2005","Schladming","AUT",342,"Slalom","M","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=30494","20.01.2005","Zagreb-Sljeme","CRO",5467,"Slalom","L","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=33219","13.12.2004","Sestriere","ITA",752,"Slalom","M","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=39206","24.01.2006","Schladming","AUT",122,"Slalom","M","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=38940","05.01.2006","Zagreb-Sljeme","CRO",5309,"Slalom","L","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=41789","12.12.2005","Madonna di Campiglio","ITA",642,"Slalom","M","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=49004","30.01.2007","Schladming","AUT",501,"Slalom","M","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=43820","04.01.2007","Zagreb-Sljeme","CRO",5650,"Slalom","L","WC","night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=53979","06.01.2009","Zagreb","CRO",393,"Slalom","M","WC","Night event"
"http://data.fis-ski.com/dynamic/results.html?sector=AL&raceid=62371","11.01.2011","Flachau","AUT",5129,"Slalom","L","WC","Night event"
