year,name,nation,gender,rank
1999,WIBERG Pernilla,SWE,L,2
1999,PAERSON Anja,SWE,L,3
1999,EGGER Sabine,AUT,L,1
2000,PRETNAR Spela,SLO,L,1
2000,PAERSON Anja,SWE,L,3
2000,PASCAL Christel,FRA,L,2
2001,KOSTELIC Janica,CRO,L,1
2001,NEF Sonja,SUI,L,2
2001,ERTL-RENZ Martina,GER,L,3
2002,PAERSON Anja,SWE,L,3
2002,KOZNICK Kristina,USA,L,2
2002,PEQUEGNOT Laure,FRA,L,1
2003,KOSTELIC Janica,CRO,L,1
2003,PAERSON Anja,SWE,L,2
2003,POUTIAINEN Tanja,FIN,L,3
2004,PAERSON Anja,SWE,L,1
2004,SCHILD Marlies,AUT,L,2
2004,BERGMANN Monika,GER,L,3
2005,KOSTELIC Janica,CRO,L,2
2005,POUTIAINEN Tanja,FIN,L,1
2005,SCHILD Marlies,AUT,L,3
2006,KOSTELIC Janica,CRO,L,1
2006,PAERSON Anja,SWE,L,3
2006,SCHILD Marlies,AUT,L,2
2007,HOSP Nicole,AUT,L,2
2007,SCHILD Marlies,AUT,L,1
2007,STRACHOVA Sarka,CZE,L,3
2008,HOSP Nicole,AUT,L,2
2008,SCHILD Marlies,AUT,L,1
2008,VELEZ ZUZULOVA Veronika,SVK,L,3
2009,VONN Lindsey,USA,L,3
2009,HOEFL-RIESCH Maria,GER,L,1
2009,STRACHOVA Sarka,CZE,L,2
2010,HOEFL-RIESCH Maria,GER,L,1
2010,ZETTEL Kathrin,AUT,L,2
2010,SCHILD Marlies,AUT,L,3
2011,HOEFL-RIESCH Maria,GER,L,3
2011,SCHILD Marlies,AUT,L,1
2011,POUTIAINEN Tanja,FIN,L,2
2012,MAZE Tina,SLO,L,3
2012,SCHILD Marlies,AUT,L,1
2012,KIRCHGASSER Michaela,AUT,L,2
2013,MAZE Tina,SLO,L,2
2013,SHIFFRIN Mikaela; ,USA,L,1
2013,VELEZ ZUZULOVA Veronika,SVK,L,3
2014,SHIFFRIN Mikaela; ,USA,L,1
2014,HANSDOTTER Frida,SWE,L,2
2014,SCHILD Marlies,AUT,L,3
2015,MAZE Tina,SLO,L,3
2015,SHIFFRIN Mikaela; ,USA,L,1
2015,HANSDOTTER Frida,SWE,L,2
2016,HANSDOTTER Frida,SWE,L,1
2016,HOLDENER Wendy,SUI,L,3
2016,VELEZ ZUZULOVA Veronika,SVK,L,2
