year,name,nation,gender,rank
2001,PAERSON Anja,SWE,L,2
2002,DORFMEISTER Michaela,AUT,L,2
2002,NEF Sonja,SUI,L,1
2002,PAERSON Anja,SWE,L,3
2003,KOSTELIC Janica,CRO,L,3
2003,PUTZER Karen,ITA,L,2
2003,PAERSON Anja,SWE,L,1
2004,PAERSON Anja,SWE,L,1
2004,KARBON Denise,ITA,L,2
2004,RIENDA Maria Jose,ESP,L,3
2005,PAERSON Anja,SWE,L,2
2005,POUTIAINEN Tanja,FIN,L,1
2005,RIENDA Maria Jose,ESP,L,3
2006,KOSTELIC Janica,CRO,L,3
2006,PAERSON Anja,SWE,L,1
2006,RIENDA Maria Jose,ESP,L,2
2007,HOSP Nicole,AUT,L,1
2007,POUTIAINEN Tanja,FIN,L,2
2007,KIRCHGASSER Michaela,AUT,L,3
2008,GOERGL Elisabeth,AUT,L,2
2008,KARBON Denise,ITA,L,1
2008,MOELGG Manuela,ITA,L,3
2009,ZETTEL Kathrin,AUT,L,2
2009,POUTIAINEN Tanja,FIN,L,1
2009,MAZE Tina,SLO,L,3
2010,MAZE Tina,SLO,L,3
2010,ZETTEL Kathrin,AUT,L,2
2010,HOELZL Kathrin,GER,L,1
2011,POUTIAINEN Tanja,FIN,L,3
2011,REBENSBURG Viktoria,GER,L,1
2011,WORLEY Tessa,FRA,L,2
2012,VONN Lindsey,USA,L,2
2012,REBENSBURG Viktoria,GER,L,1
2012,WORLEY Tessa,FRA,L,3
2013,MAZE Tina,SLO,L,1
2013,VEITH Anna,AUT,L,2
2013,REBENSBURG Viktoria,GER,L,3
2014,VEITH Anna,AUT,L,1
2014,PIETILAE-HOLMNER Maria,SWE,L,3
2014,LINDELL-VIKARBY Jessica,SWE,L,2
2015,VEITH Anna,AUT,L,1
2015,SHIFFRIN Mikaela; ,USA,L,3
2015,BREM Eva-Maria,AUT,L,2
2016,GUT Lara,SUI,L,3
2016,REBENSBURG Viktoria,GER,L,2
2016,BREM Eva-Maria,AUT,L,1
