year,name,gender,nation,rank
1998,SEIZINGER Katja,L,GER,1
1998,ERTL-RENZ Martina,L,GER,2
1998,GERG Hilde,L,GER,3
1999,MEISSNITZER Alexandra,L,AUT,1
1999,GERG Hilde,L,GER,2
1999,GOETSCHL Renate,L,AUT,3
2000,GOETSCHL Renate,L,AUT,1
2000,DORFMEISTER Michaela,L,AUT,2
2000,CAVAGNOUD Regine,L,FRA,3
2001,KOSTELIC Janica,L,CRO,1
2001,GOETSCHL Renate,L,AUT,2
2001,CAVAGNOUD Regine,L,FRA,3
2002,DORFMEISTER Michaela,L,AUT,1
2002,GOETSCHL Renate,L,AUT,2
2002,NEF Sonja,L,SUI,3
2003,KOSTELIC Janica,L,CRO,1
2003,PUTZER Karen,L,ITA,2
2003,PAERSON Anja,L,SWE,3
2004,PAERSON Anja,L,SWE,1
2004,GOETSCHL Renate,L,AUT,2
2004,HOEFL-RIESCH Maria,L,GER,3
2005,PAERSON Anja,L,SWE,1
2005,KOSTELIC Janica,L,CRO,2
2005,GOETSCHL Renate,L,AUT,3
2006,KOSTELIC Janica,L,CRO,1
2006,PAERSON Anja,L,SWE,2
2006,DORFMEISTER Michaela,L,AUT,3
2007,HOSP Nicole,L,AUT,1
2007,SCHILD Marlies,L,AUT,2
2007,MANCUSO Julia,L,USA,3
2008,VONN Lindsey,L,USA,1
2008,HOSP Nicole,L,AUT,2
2008,HOEFL-RIESCH Maria,L,GER,3
2009,VONN Lindsey,L,USA,1
2009,HOEFL-RIESCH Maria,L,GER,2
2009,PAERSON Anja,L,SWE,3
2010,VONN Lindsey,L,USA,1
2010,HOEFL-RIESCH Maria,L,GER,2
2010,PAERSON Anja,L,SWE,3
2011,HOEFL-RIESCH Maria,L,GER,1
2011,VONN Lindsey,L,USA,2
2011,MAZE Tina,L,SLO,3
2012,VONN Lindsey,L,USA,1
2012,MAZE Tina,L,SLO,2
2012,HOEFL-RIESCH Maria,L,GER,3
2013,MAZE Tina,L,SLO,1
2013,HOEFL-RIESCH Maria,L,GER,2
2013,VEITH Anna,L,AUT,3
2014,VEITH Anna,L,AUT,1
2014,HOEFL-RIESCH Maria,L,GER,2
2014,GUT Lara,L,SUI,3
2015,VEITH Anna,L,AUT,1
2015,MAZE Tina,L,SLO,2
2015,VONN Lindsey,L,USA,3
2016,GUT Lara,L,SUI,1
2016,VONN Lindsey,L,USA,2
2016,REBENSBURG Viktoria,L,GER,3
